indicator,indicator_code,country_code,region,region_code,year,value,value_str,low,high
cholera_cases,WHS3_49,CYP,Europe,EUR,1992,0.0,0,,
cholera_cases,WHS3_49,LCA,Americas,AMR,1993,0.0,0,,
cholera_cases,WHS3_49,AUT,Europe,EUR,1993,0.0,0,,
cholera_cases,WHS3_49,DJI,Eastern Mediterranean,EMR,1999,1.0,1,,
cholera_cases,WHS3_49,PRK,South-East Asia,SEAR,2013,0.0,0,,
cholera_cases,WHS3_49,CAN,Americas,AMR,2017,0.0,0,,
cholera_cases,WHS3_49,NLD,Europe,EUR,2010,0.0,0,,
cholera_cases,WHS3_49,SGP,Western Pacific,WPR,1980,1.0,1,,
cholera_cases,WHS3_49,VUT,Western Pacific,WPR,1982,2.0,2,,
cholera_cases,WHS3_49,BRB,Americas,AMR,2001,0.0,0,,
cholera_cases,WHS3_49,BRA,Americas,AMR,1997,0.0,0,,
cholera_cases,WHS3_49,CUB,Americas,AMR,1981,0.0,0,,
cholera_cases,WHS3_49,KAZ,Europe,EUR,2012,0.0,0,,
cholera_cases,WHS3_49,CRI,Americas,AMR,2006,0.0,0,,
cholera_cases,WHS3_49,BLR,Europe,EUR,1993,1.0,1,,
cholera_cases,WHS3_49,BDI,Africa,AFR,2014,0.0,0,,
cholera_cases,WHS3_49,JPN,Western Pacific,WPR,2016,0.0,0,,
cholera_cases,WHS3_49,SYC,Africa,AFR,1998,0.0,0,,
cholera_cases,WHS3_49,AZE,Europe,EUR,1997,0.0,0,,
cholera_cases,WHS3_49,AFG,Eastern Mediterranean,EMR,2006,31.0,31,,
cholera_cases,WHS3_49,OMN,Eastern Mediterranean,EMR,2017,0.0,0,,
cholera_cases,WHS3_49,IRN,Eastern Mediterranean,EMR,2005,0.0,0,,
cholera_cases,WHS3_49,DZA,Africa,AFR,2006,0.0,0,,
cholera_cases,WHS3_49,TON,Western Pacific,WPR,2004,0.0,0,,
cholera_cases,WHS3_49,CIV,Africa,AFR,2002,0.0,0,,
cholera_cases,WHS3_49,GNB,Africa,AFR,1995,0.0,0,,
cholera_cases,WHS3_49,SMR,Europe,EUR,2006,0.0,0,,
cholera_cases,WHS3_49,TUN,Eastern Mediterranean,EMR,2014,0.0,0,,
cholera_cases,WHS3_49,COK,Western Pacific,WPR,1980,0.0,0,,
cholera_cases,WHS3_49,PHL,Western Pacific,WPR,1997,0.0,0,,
cholera_cases,WHS3_49,VNM,Western Pacific,WPR,2000,0.0,0,,
cholera_cases,WHS3_49,UGA,Africa,AFR,2012,0.0,0,,
cholera_cases,WHS3_49,IDN,Western Pacific,WPR,2001,0.0,0,,
cholera_cases,WHS3_49,MUS,Africa,AFR,1984,0.0,0,,
cholera_cases,WHS3_49,CAF,Africa,AFR,2004,30.0,30,,
cholera_cases,WHS3_49,GRC,Europe,EUR,2009,0.0,0,,
cholera_cases,WHS3_49,PAK,Eastern Mediterranean,EMR,2001,119.0,119,,
cholera_cases,WHS3_49,BHR,Eastern Mediterranean,EMR,1992,0.0,0,,
cholera_cases,WHS3_49,MAR,Eastern Mediterranean,EMR,2006,0.0,0,,
cholera_cases,WHS3_49,ECU,Americas,AMR,1996,0.0,0,,
cholera_cases,WHS3_49,COK,Western Pacific,WPR,1997,0.0,0,,
cholera_cases,WHS3_49,SLB,Western Pacific,WPR,1985,0.0,0,,
cholera_cases,WHS3_49,KIR,Western Pacific,WPR,1998,0.0,0,,
cholera_cases,WHS3_49,LKA,South-East Asia,SEAR,1996,0.0,0,,
cholera_cases,WHS3_49,TUV,Western Pacific,WPR,1987,0.0,0,,
cholera_cases,WHS3_49,VCT,Americas,AMR,2002,0.0,0,,
cholera_cases,WHS3_49,COD,Africa,AFR,1998,10.0,10,,
cholera_cases,WHS3_49,STP,Africa,AFR,2001,0.0,0,,
cholera_cases,WHS3_49,MCO,Europe,EUR,1999,0.0,0,,
cholera_cases,WHS3_49,MAR,Eastern Mediterranean,EMR,1995,0.0,0,,
cholera_cases,WHS3_49,VUT,Western Pacific,WPR,2005,0.0,0,,
cholera_cases,WHS3_49,SRB,Europe,EUR,1999,0.0,0,,
cholera_cases,WHS3_49,MMR,South-East Asia,SEAR,1980,244.0,244,,
cholera_cases,WHS3_49,SAU,Eastern Mediterranean,EMR,1986,12.0,12,,
cholera_cases,WHS3_49,LBY,Eastern Mediterranean,EMR,1980,30.0,30,,
cholera_cases,WHS3_49,BHS,Americas,AMR,1986,0.0,0,,
cholera_cases,WHS3_49,CPV,Africa,AFR,1990,0.0,0,,
cholera_cases,WHS3_49,BEL,Europe,EUR,2011,0.0,0,,
cholera_cases,WHS3_49,MDV,South-East Asia,SEAR,2002,0.0,0,,
cholera_cases,WHS3_49,MMR,South-East Asia,SEAR,1990,47.0,47,,
cholera_cases,WHS3_49,GNQ,Africa,AFR,1999,1.0,1,,
cholera_cases,WHS3_49,NPL,South-East Asia,SEAR,2016,0.0,0,,
cholera_cases,WHS3_49,MDG,Africa,AFR,1991,13.0,13,,
cholera_cases,WHS3_49,MDG,Africa,AFR,1995,0.0,0,,
cholera_cases,WHS3_49,SLV,Americas,AMR,2000,0.0,0,,
cholera_cases,WHS3_49,ITA,Europe,EUR,1982,3.0,3,,
cholera_cases,WHS3_49,AZE,Europe,EUR,1994,16.0,16,,
cholera_cases,WHS3_49,COG,Africa,AFR,1991,0.0,0,,
cholera_cases,WHS3_49,BOL,Americas,AMR,1992,0.0,0,,
cholera_cases,WHS3_49,CHN,Western Pacific,WPR,1997,0.0,0,,
cholera_cases,WHS3_49,KEN,Africa,AFR,2016,0.0,0,,
cholera_cases,WHS3_49,TUN,Eastern Mediterranean,EMR,1985,19.0,19,,
cholera_cases,WHS3_49,MLI,Africa,AFR,2002,0.0,0,,
cholera_cases,WHS3_49,SRB,Europe,EUR,2006,0.0,0,,
cholera_cases,WHS3_49,BWA,Africa,AFR,2005,0.0,0,,
cholera_cases,WHS3_49,BIH,Europe,EUR,2010,0.0,0,,
cholera_cases,WHS3_49,CRI,Americas,AMR,1995,0.0,0,,
cholera_cases,WHS3_49,KGZ,Europe,EUR,1995,0.0,0,,
cholera_cases,WHS3_49,RWA,Africa,AFR,2006,0.0,0,,
cholera_cases,WHS3_49,LBN,Eastern Mediterranean,EMR,2018,0.0,0,,
cholera_cases,WHS3_49,SVN,Europe,EUR,2015,0.0,0,,
cholera_cases,WHS3_49,VCT,Americas,AMR,1985,0.0,0,,
cholera_cases,WHS3_49,IRN,Eastern Mediterranean,EMR,2002,0.0,0,,
cholera_cases,WHS3_49,TUR,Europe,EUR,2009,0.0,0,,
cholera_cases,WHS3_49,STP,Africa,AFR,2005,0.0,0,,
cholera_cases,WHS3_49,COG,Africa,AFR,2001,0.0,0,,
cholera_cases,WHS3_49,BRB,Americas,AMR,1998,0.0,0,,
cholera_cases,WHS3_49,MDA,Europe,EUR,2018,0.0,0,,
cholera_cases,WHS3_49,NIU,Western Pacific,WPR,1996,0.0,0,,
cholera_cases,WHS3_49,KEN,Africa,AFR,1994,108.0,108,,
cholera_cases,WHS3_49,CUB,Americas,AMR,2007,0.0,0,,
cholera_cases,WHS3_49,MKD,Europe,EUR,1992,0.0,0,,
cholera_cases,WHS3_49,LBR,Africa,AFR,2001,0.0,0,,
cholera_cases,WHS3_49,IND,South-East Asia,SEAR,2002,1600.0,1600,,
cholera_cases,WHS3_49,RWA,Africa,AFR,2002,0.0,0,,
cholera_cases,WHS3_49,MRT,Africa,AFR,2007,0.0,0,,
cholera_cases,WHS3_49,THA,South-East Asia,SEAR,2008,0.0,0,,
cholera_cases,WHS3_49,DZA,Africa,AFR,2012,0.0,0,,
cholera_cases,WHS3_49,CIV,Africa,AFR,1981,31.0,31,,
cholera_cases,WHS3_49,PAK,Eastern Mediterranean,EMR,2017,0.0,0,,
cholera_cases,WHS3_49,DJI,Eastern Mediterranean,EMR,2001,0.0,0,,
cholera_cases,WHS3_49,KWT,Eastern Mediterranean,EMR,1984,0.0,0,,
cholera_cases,WHS3_49,FJI,Western Pacific,WPR,1995,0.0,0,,
cholera_cases,WHS3_49,NPL,South-East Asia,SEAR,2014,0.0,0,,
cholera_cases,WHS3_49,NGA,Africa,AFR,1983,392.0,392,,
cholera_cases,WHS3_49,GLOBAL,,,2016,42.0,42,,
cholera_cases,WHS3_49,TUN,Eastern Mediterranean,EMR,2012,0.0,0,,
cholera_cases,WHS3_49,TTO,Americas,AMR,1997,0.0,0,,
cholera_cases,WHS3_49,JAM,Americas,AMR,1992,0.0,0,,
cholera_cases,WHS3_49,CYP,Europe,EUR,1989,0.0,0,,
cholera_cases,WHS3_49,MAR,Eastern Mediterranean,EMR,2013,0.0,0,,
cholera_cases,WHS3_49,AUT,Europe,EUR,1999,0.0,0,,
cholera_cases,WHS3_49,MDV,South-East Asia,SEAR,2003,0.0,0,,
cholera_cases,WHS3_49,UKR,Europe,EUR,2001,0.0,0,,
cholera_cases,WHS3_49,JOR,Eastern Mediterranean,EMR,2011,0.0,0,,
cholera_cases,WHS3_49,SEN,Africa,AFR,1998,10.0,10,,
cholera_cases,WHS3_49,ARE,Eastern Mediterranean,EMR,1985,7.0,7,,
cholera_cases,WHS3_49,AFR,,,1992,1555.0,1555,,
cholera_cases,WHS3_49,NIC,Americas,AMR,1997,0.0,0,,
cholera_cases,WHS3_49,CHN,Western Pacific,WPR,1991,1926.0,1926,,
cholera_cases,WHS3_49,BGD,South-East Asia,SEAR,1982,319.0,319,,
cholera_cases,WHS3_49,FJI,Western Pacific,WPR,1982,0.0,0,,
cholera_cases,WHS3_49,CIV,Africa,AFR,2003,1.0,1,,
cholera_cases,WHS3_49,BRA,Americas,AMR,1983,45.0,45,,
cholera_cases,WHS3_49,YEM,Eastern Mediterranean,EMR,2011,9.0,9,,
cholera_cases,WHS3_49,ARM,Europe,EUR,2017,0.0,0,,
cholera_cases,WHS3_49,CZE,Europe,EUR,2007,0.0,0,,
cholera_cases,WHS3_49,DZA,Africa,AFR,1992,1.0,1,,
cholera_cases,WHS3_49,DOM,Americas,AMR,2006,0.0,0,,
cholera_cases,WHS3_49,TLS,South-East Asia,SEAR,2006,0.0,0,,
cholera_cases,WHS3_49,ARG,Americas,AMR,2006,0.0,0,,
cholera_cases,WHS3_49,LTU,Europe,EUR,2018,0.0,0,,
cholera_cases,WHS3_49,MYS,Western Pacific,WPR,2000,0.0,0,,
cholera_cases,WHS3_49,VCT,Americas,AMR,1987,0.0,0,,
cholera_cases,WHS3_49,BLR,Europe,EUR,2012,0.0,0,,
cholera_cases,WHS3_49,MEX,Americas,AMR,2014,0.0,0,,
cholera_cases,WHS3_49,NOR,Europe,EUR,2015,0.0,0,,
cholera_cases,WHS3_49,HND,Americas,AMR,1990,0.0,0,,
cholera_cases,WHS3_49,LAO,Western Pacific,WPR,1987,480.0,480,,
cholera_cases,WHS3_49,GIN,Africa,AFR,2006,0.0,0,,
cholera_cases,WHS3_49,BOL,Americas,AMR,1994,0.0,0,,
cholera_cases,WHS3_49,GEO,Europe,EUR,2005,0.0,0,,
cholera_cases,WHS3_49,GEO,Europe,EUR,2014,0.0,0,,
cholera_cases,WHS3_49,BWA,Africa,AFR,1986,2.0,2,,
cholera_cases,WHS3_49,IRQ,Eastern Mediterranean,EMR,1984,223.0,223,,
cholera_cases,WHS3_49,KOR,Western Pacific,WPR,2017,0.0,0,,
cholera_cases,WHS3_49,BRB,Americas,AMR,2002,0.0,0,,
cholera_cases,WHS3_49,MHL,Western Pacific,WPR,1984,0.0,0,,
cholera_cases,WHS3_49,FIN,Europe,EUR,2015,0.0,0,,
cholera_cases,WHS3_49,MLT,Europe,EUR,1994,0.0,0,,
cholera_cases,WHS3_49,EUR,,,1992,176.0,176,,
cholera_cases,WHS3_49,LCA,Americas,AMR,1981,0.0,0,,
cholera_cases,WHS3_49,KWT,Eastern Mediterranean,EMR,1990,0.0,0,,
cholera_cases,WHS3_49,DMA,Americas,AMR,2006,0.0,0,,
cholera_cases,WHS3_49,TZA,Africa,AFR,1983,101.0,101,,
cholera_cases,WHS3_49,STP,Africa,AFR,2009,0.0,0,,
cholera_cases,WHS3_49,KWT,Eastern Mediterranean,EMR,1991,0.0,0,,
cholera_cases,WHS3_49,AMR,,,1983,1073.0,1073,,
cholera_cases,WHS3_49,HRV,Europe,EUR,2004,0.0,0,,
cholera_cases,WHS3_49,KEN,Africa,AFR,1998,109.0,109,,
cholera_cases,WHS3_49,TJK,Europe,EUR,1996,0.0,0,,
cholera_cases,WHS3_49,TZA,Africa,AFR,2009,0.0,0,,
cholera_cases,WHS3_49,BOL,Americas,AMR,1980,48.0,48,,
cholera_cases,WHS3_49,MYS,Western Pacific,WPR,1999,0.0,0,,
cholera_cases,WHS3_49,LVA,Europe,EUR,2013,0.0,0,,
cholera_cases,WHS3_49,JAM,Americas,AMR,1991,0.0,0,,
cholera_cases,WHS3_49,HUN,Europe,EUR,1997,0.0,0,,
cholera_cases,WHS3_49,TGO,Africa,AFR,1987,87.0,87,,
cholera_cases,WHS3_49,USA,Americas,AMR,2014,0.0,0,,
cholera_cases,WHS3_49,KHM,Western Pacific,WPR,1990,63.0,63,,
cholera_cases,WHS3_49,GHA,Africa,AFR,2016,0.0,0,,
cholera_cases,WHS3_49,COG,Africa,AFR,2015,0.0,0,,
cholera_cases,WHS3_49,BFA,Africa,AFR,1994,5.0,5,,
cholera_cases,WHS3_49,UKR,Europe,EUR,2017,0.0,0,,
cholera_cases,WHS3_49,IRQ,Eastern Mediterranean,EMR,1987,45.0,45,,
cholera_cases,WHS3_49,BGD,South-East Asia,SEAR,1987,102.0,102,,
cholera_cases,WHS3_49,WPR,,,1981,11144.0,11144,,
cholera_cases,WHS3_49,MDV,South-East Asia,SEAR,1990,0.0,0,,
cholera_cases,WHS3_49,MLT,Europe,EUR,1998,0.0,0,,
cholera_cases,WHS3_49,GLOBAL,,,2002,1922.0,1922,,
cholera_cases,WHS3_49,SGP,Western Pacific,WPR,2006,0.0,0,,
cholera_cases,WHS3_49,CHE,Europe,EUR,2015,0.0,0,,
cholera_cases,WHS3_49,ISL,Europe,EUR,2007,0.0,0,,
cholera_cases,WHS3_49,PER,Americas,AMR,2013,0.0,0,,
cholera_cases,WHS3_49,MEX,Americas,AMR,2016,0.0,0,,
cholera_cases,WHS3_49,VUT,Western Pacific,WPR,1992,0.0,0,,
cholera_cases,WHS3_49,MOZ,Africa,AFR,1991,3.0,3,,
cholera_cases,WHS3_49,COK,Western Pacific,WPR,1999,0.0,0,,
cholera_cases,WHS3_49,KOR,Western Pacific,WPR,2000,0.0,0,,
cholera_cases,WHS3_49,LUX,Europe,EUR,1995,0.0,0,,
cholera_cases,WHS3_49,PAN,Americas,AMR,1999,0.0,0,,
cholera_cases,WHS3_49,NPL,South-East Asia,SEAR,2011,0.0,0,,
cholera_cases,WHS3_49,PRY,Americas,AMR,1983,12.0,12,,
cholera_cases,WHS3_49,MRT,Africa,AFR,2014,0.0,0,,
cholera_cases,WHS3_49,MOZ,Africa,AFR,2018,1.0,1,,
cholera_cases,WHS3_49,JOR,Eastern Mediterranean,EMR,2006,0.0,0,,
cholera_cases,WHS3_49,ARG,Americas,AMR,1998,0.0,0,,
cholera_cases,WHS3_49,USA,Americas,AMR,1988,0.0,0,,
cholera_cases,WHS3_49,URY,Americas,AMR,1999,0.0,0,,
cholera_cases,WHS3_49,IDN,Western Pacific,WPR,2010,0.0,0,,
cholera_cases,WHS3_49,USA,Americas,AMR,2003,0.0,0,,
cholera_cases,WHS3_49,WPR,,,1988,2127.0,2127,,
cholera_cases,WHS3_49,BWA,Africa,AFR,1993,0.0,0,,
cholera_cases,WHS3_49,LAO,Western Pacific,WPR,1990,18.0,18,,
cholera_cases,WHS3_49,CAF,Africa,AFR,2016,0.0,0,,
cholera_cases,WHS3_49,NOR,Europe,EUR,2014,0.0,0,,
cholera_cases,WHS3_49,ETH,Africa,AFR,1991,117.0,117,,
cholera_cases,WHS3_49,DMA,Americas,AMR,1993,0.0,0,,
cholera_cases,WHS3_49,MWI,Africa,AFR,2000,0.0,0,,
cholera_cases,WHS3_49,JAM,Americas,AMR,1999,0.0,0,,
cholera_cases,WHS3_49,MUS,Africa,AFR,2006,0.0,0,,
cholera_cases,WHS3_49,COD,Africa,AFR,1996,219.0,219,,
cholera_cases,WHS3_49,PRT,Europe,EUR,1986,0.0,0,,
cholera_cases,WHS3_49,IRN,Eastern Mediterranean,EMR,1983,105.0,105,,
cholera_cases,WHS3_49,ERI,Africa,AFR,2010,0.0,0,,
cholera_cases,WHS3_49,PLW,Western Pacific,WPR,2005,0.0,0,,
cholera_cases,WHS3_49,MWI,Africa,AFR,1990,3.0,3,,
cholera_cases,WHS3_49,SWE,Europe,EUR,1990,0.0,0,,
cholera_cases,WHS3_49,DOM,Americas,AMR,1997,0.0,0,,
cholera_cases,WHS3_49,PAN,Americas,AMR,1980,0.0,0,,
cholera_cases,WHS3_49,LAO,Western Pacific,WPR,2003,0.0,0,,
cholera_cases,WHS3_49,LUX,Europe,EUR,1998,0.0,0,,
cholera_cases,WHS3_49,MLT,Europe,EUR,1985,0.0,0,,
cholera_cases,WHS3_49,FRA,Europe,EUR,2007,0.0,0,,
cholera_cases,WHS3_49,HRV,Europe,EUR,2007,0.0,0,,
cholera_cases,WHS3_49,TTO,Americas,AMR,1987,0.0,0,,
cholera_cases,WHS3_49,SLE,Africa,AFR,2009,11.0,11,,
cholera_cases,WHS3_49,PRY,Americas,AMR,1988,2.0,2,,
cholera_cases,WHS3_49,KEN,Africa,AFR,1984,115.0,115,,
cholera_cases,WHS3_49,UGA,Africa,AFR,2015,0.0,0,,
cholera_cases,WHS3_49,UZB,Europe,EUR,2018,0.0,0,,
cholera_cases,WHS3_49,NIC,Americas,AMR,1993,0.0,0,,
cholera_cases,WHS3_49,NGA,Africa,AFR,2002,202.0,202,,
cholera_cases,WHS3_49,STP,Africa,AFR,1980,4.0,4,,
cholera_cases,WHS3_49,LTU,Europe,EUR,1999,0.0,0,,
cholera_cases,WHS3_49,TON,Western Pacific,WPR,1987,0.0,0,,
cholera_cases,WHS3_49,ESP,Europe,EUR,1981,13.0,13,,
cholera_cases,WHS3_49,ZAF,Africa,AFR,2008,0.0,0,,
cholera_cases,WHS3_49,BRB,Americas,AMR,2000,0.0,0,,
cholera_cases,WHS3_49,AFR,,,2013,93.0,93,,
cholera_cases,WHS3_49,LSO,Africa,AFR,2002,0.0,0,,
cholera_cases,WHS3_49,ISR,Europe,EUR,1981,8.0,8,,
cholera_cases,WHS3_49,UZB,Europe,EUR,2001,0.0,0,,
cholera_cases,WHS3_49,BGD,South-East Asia,SEAR,2017,0.0,0,,
cholera_cases,WHS3_49,SDN,Eastern Mediterranean,EMR,2016,0.0,0,,
cholera_cases,WHS3_49,CMR,Africa,AFR,2013,8.0,8,,
cholera_cases,WHS3_49,KEN,Africa,AFR,2005,0.0,0,,
cholera_cases,WHS3_49,NPL,South-East Asia,SEAR,1980,52.0,52,,
cholera_cases,WHS3_49,EGY,Eastern Mediterranean,EMR,1985,564.0,564,,
cholera_cases,WHS3_49,NOR,Europe,EUR,1990,0.0,0,,
cholera_cases,WHS3_49,CYP,Europe,EUR,1984,0.0,0,,
cholera_cases,WHS3_49,VUT,Western Pacific,WPR,1981,1.0,1,,
cholera_cases,WHS3_49,CAN,Americas,AMR,2004,0.0,0,,
cholera_cases,WHS3_49,MEX,Americas,AMR,2001,0.0,0,,
cholera_cases,WHS3_49,YEM,Eastern Mediterranean,EMR,2001,0.0,0,,
cholera_cases,WHS3_49,NER,Africa,AFR,2016,0.0,0,,
cholera_cases,WHS3_49,GBR,Europe,EUR,2011,0.0,0,,
cholera_cases,WHS3_49,BRB,Americas,AMR,1996,0.0,0,,
cholera_cases,WHS3_49,ALB,Europe,EUR,1981,1.0,1,,
cholera_cases,WHS3_49,ECU,Americas,AMR,1989,5.0,5,,
cholera_cases,WHS3_49,HRV,Europe,EUR,1991,0.0,0,,
cholera_cases,WHS3_49,LCA,Americas,AMR,1995,0.0,0,,
cholera_cases,WHS3_49,CZE,Europe,EUR,2001,0.0,0,,
cholera_cases,WHS3_49,ECU,Americas,AMR,2004,0.0,0,,
cholera_cases,WHS3_49,GIN,Africa,AFR,1983,2.0,2,,
cholera_cases,WHS3_49,AZE,Europe,EUR,2017,0.0,0,,
cholera_cases,WHS3_49,TUV,Western Pacific,WPR,1992,0.0,0,,
cholera_cases,WHS3_49,MLT,Europe,EUR,2003,0.0,0,,
cholera_cases,WHS3_49,ZWE,Africa,AFR,2000,0.0,0,,
cholera_cases,WHS3_49,VNM,Western Pacific,WPR,1983,1109.0,1109,,
cholera_cases,WHS3_49,BEN,Africa,AFR,2008,6.0,6,,
cholera_cases,WHS3_49,WSM,Western Pacific,WPR,2000,0.0,0,,
cholera_cases,WHS3_49,ZMB,Africa,AFR,1986,134.0,134,,
cholera_cases,WHS3_49,GRC,Europe,EUR,2000,0.0,0,,
cholera_cases,WHS3_49,SYR,Eastern Mediterranean,EMR,1990,13.0,13,,
cholera_cases,WHS3_49,PRK,South-East Asia,SEAR,2017,0.0,0,,
cholera_cases,WHS3_49,NER,Africa,AFR,2014,0.0,0,,
cholera_cases,WHS3_49,KNA,Americas,AMR,1987,0.0,0,,
cholera_cases,WHS3_49,ARE,Eastern Mediterranean,EMR,2011,0.0,0,,
cholera_cases,WHS3_49,ISR,Europe,EUR,1997,0.0,0,,
cholera_cases,WHS3_49,MUS,Africa,AFR,2001,0.0,0,,
cholera_cases,WHS3_49,BLZ,Americas,AMR,1989,0.0,0,,
cholera_cases,WHS3_49,BWA,Africa,AFR,2012,0.0,0,,
cholera_cases,WHS3_49,BIH,Europe,EUR,2001,0.0,0,,
cholera_cases,WHS3_49,GRC,Europe,EUR,2004,0.0,0,,
cholera_cases,WHS3_49,AZE,Europe,EUR,2002,0.0,0,,
cholera_cases,WHS3_49,TON,Western Pacific,WPR,2007,0.0,0,,
cholera_cases,WHS3_49,MLT,Europe,EUR,1996,0.0,0,,
cholera_cases,WHS3_49,EUR,,,2011,0.0,0,,
cholera_cases,WHS3_49,MNG,Western Pacific,WPR,2010,0.0,0,,
cholera_cases,WHS3_49,TJK,Europe,EUR,1997,1.0,1,,
cholera_cases,WHS3_49,NOR,Europe,EUR,1993,0.0,0,,
cholera_cases,WHS3_49,BTN,South-East Asia,SEAR,1990,0.0,0,,
cholera_cases,WHS3_49,CAN,Americas,AMR,2016,0.0,0,,
cholera_cases,WHS3_49,MDV,South-East Asia,SEAR,1992,0.0,0,,
cholera_cases,WHS3_49,THA,South-East Asia,SEAR,1995,2.0,2,,
cholera_cases,WHS3_49,SGP,Western Pacific,WPR,2017,0.0,0,,
cholera_cases,WHS3_49,CHL,Americas,AMR,2002,0.0,0,,
cholera_cases,WHS3_49,COD,Africa,AFR,1984,132.0,132,,
cholera_cases,WHS3_49,NIC,Americas,AMR,2002,0.0,0,,
cholera_cases,WHS3_49,SUR,Americas,AMR,1991,0.0,0,,
cholera_cases,WHS3_49,POL,Europe,EUR,2004,0.0,0,,
cholera_cases,WHS3_49,HUN,Europe,EUR,1999,0.0,0,,
cholera_cases,WHS3_49,SAU,Eastern Mediterranean,EMR,1982,99.0,99,,
cholera_cases,WHS3_49,ATG,Americas,AMR,1995,0.0,0,,
cholera_cases,WHS3_49,ESP,Europe,EUR,1997,0.0,0,,
cholera_cases,WHS3_49,DZA,Africa,AFR,1981,114.0,114,,
cholera_cases,WHS3_49,MYS,Western Pacific,WPR,2002,0.0,0,,
cholera_cases,WHS3_49,CZE,Europe,EUR,1995,0.0,0,,
cholera_cases,WHS3_49,FRA,Europe,EUR,1984,5.0,5,,
cholera_cases,WHS3_49,ISL,Europe,EUR,2014,0.0,0,,
cholera_cases,WHS3_49,RUS,Europe,EUR,2008,0.0,0,,
cholera_cases,WHS3_49,KIR,Western Pacific,WPR,1999,0.0,0,,
cholera_cases,WHS3_49,ETH,Africa,AFR,2006,17.0,17,,
cholera_cases,WHS3_49,LKA,South-East Asia,SEAR,1988,16.0,16,,
cholera_cases,WHS3_49,MOZ,Africa,AFR,1980,65.0,65,,
cholera_cases,WHS3_49,CHL,Americas,AMR,2015,0.0,0,,
cholera_cases,WHS3_49,IRL,Europe,EUR,1980,1.0,1,,
cholera_cases,WHS3_49,SWE,Europe,EUR,2004,0.0,0,,
cholera_cases,WHS3_49,SLE,Africa,AFR,1986,14.0,14,,
cholera_cases,WHS3_49,ZMB,Africa,AFR,1996,0.0,0,,
cholera_cases,WHS3_49,KNA,Americas,AMR,1994,0.0,0,,
cholera_cases,WHS3_49,UZB,Europe,EUR,1995,1.0,1,,
cholera_cases,WHS3_49,JOR,Eastern Mediterranean,EMR,2001,0.0,0,,
cholera_cases,WHS3_49,TGO,Africa,AFR,1994,6.0,6,,
cholera_cases,WHS3_49,KEN,Africa,AFR,1995,12.0,12,,
cholera_cases,WHS3_49,HND,Americas,AMR,2005,0.0,0,,
cholera_cases,WHS3_49,KHM,Western Pacific,WPR,2017,0.0,0,,
cholera_cases,WHS3_49,LUX,Europe,EUR,1994,0.0,0,,
cholera_cases,WHS3_49,HRV,Europe,EUR,1998,0.0,0,,
cholera_cases,WHS3_49,EMR,,,2003,113.0,113,,
cholera_cases,WHS3_49,SVN,Europe,EUR,2017,0.0,0,,
cholera_cases,WHS3_49,NLD,Europe,EUR,1990,0.0,0,,
cholera_cases,WHS3_49,COG,Africa,AFR,2009,0.0,0,,
cholera_cases,WHS3_49,POL,Europe,EUR,1995,0.0,0,,
cholera_cases,WHS3_49,ARM,Europe,EUR,1996,0.0,0,,
cholera_cases,WHS3_49,ISL,Europe,EUR,2017,0.0,0,,
cholera_cases,WHS3_49,POL,Europe,EUR,1983,2.0,2,,
cholera_cases,WHS3_49,CIV,Africa,AFR,2000,1.0,1,,
cholera_cases,WHS3_49,LBY,Eastern Mediterranean,EMR,1986,25.0,25,,
cholera_cases,WHS3_49,GTM,Americas,AMR,1990,3.0,3,,
cholera_cases,WHS3_49,BHR,Eastern Mediterranean,EMR,2016,0.0,0,,
cholera_cases,WHS3_49,SEN,Africa,AFR,1989,10.0,10,,
cholera_cases,WHS3_49,YEM,Eastern Mediterranean,EMR,2008,0.0,0,,
cholera_cases,WHS3_49,AFR,,,2004,934.0,934,,
cholera_cases,WHS3_49,KOR,Western Pacific,WPR,1989,0.0,0,,
cholera_cases,WHS3_49,AMR,,,1991,9.0,9,,
cholera_cases,WHS3_49,SEN,Africa,AFR,2013,0.0,0,,
cholera_cases,WHS3_49,BLZ,Americas,AMR,2008,0.0,0,,
cholera_cases,WHS3_49,SLV,Americas,AMR,1993,0.0,0,,
cholera_cases,WHS3_49,BFA,Africa,AFR,1987,50.0,50,,
cholera_cases,WHS3_49,SLB,Western Pacific,WPR,2008,0.0,0,,
cholera_cases,WHS3_49,SEAR,,,1985,22964.0,22964,,
cholera_cases,WHS3_49,SWE,Europe,EUR,2007,0.0,0,,
cholera_cases,WHS3_49,ZWE,Africa,AFR,2001,0.0,0,,
cholera_cases,WHS3_49,SVK,Europe,EUR,2003,0.0,0,,
cholera_cases,WHS3_49,POL,Europe,EUR,2001,0.0,0,,
cholera_cases,WHS3_49,ECU,Americas,AMR,1984,0.0,0,,
cholera_cases,WHS3_49,GRC,Europe,EUR,1996,5.0,5,,
cholera_cases,WHS3_49,LBR,Africa,AFR,2003,0.0,0,,
cholera_cases,WHS3_49,AFR,,,2010,709.0,709,,
cholera_cases,WHS3_49,IRL,Europe,EUR,2009,0.0,0,,
cholera_cases,WHS3_49,ZMB,Africa,AFR,2000,0.0,0,,
cholera_cases,WHS3_49,PER,Americas,AMR,2011,0.0,0,,
cholera_cases,WHS3_49,VNM,Western Pacific,WPR,2014,0.0,0,,
cholera_cases,WHS3_49,KWT,Eastern Mediterranean,EMR,1983,2.0,2,,
