date,country,cases_cumulative,deaths_cumulative,recovered_cumulative
1/22/20,india,0,0,0
1/23/20,india,0,0,0
1/24/20,india,0,0,0
1/25/20,india,0,0,0
1/26/20,india,0,0,0
1/27/20,india,0,0,0
1/28/20,india,0,0,0
1/29/20,india,0,0,0
1/30/20,india,1,0,0
1/31/20,india,1,0,0
2/1/20,india,1,0,0
2/2/20,india,2,0,0
2/3/20,india,3,0,0
2/4/20,india,3,0,0
2/5/20,india,3,0,0
2/6/20,india,3,0,0
2/7/20,india,3,0,0
2/8/20,india,3,0,0
2/9/20,india,3,0,0
2/10/20,india,3,0,0
2/11/20,india,3,0,0
2/12/20,india,3,0,0
2/13/20,india,3,0,0
2/14/20,india,3,0,0
2/15/20,india,3,0,0
2/16/20,india,3,0,3
2/17/20,india,3,0,3
2/18/20,india,3,0,3
2/19/20,india,3,0,3
2/20/20,india,3,0,3
2/21/20,india,3,0,3
2/22/20,india,3,0,3
2/23/20,india,3,0,3
2/24/20,india,3,0,3
2/25/20,india,3,0,3
2/26/20,india,3,0,3
2/27/20,india,3,0,3
2/28/20,india,3,0,3
2/29/20,india,3,0,3
3/1/20,india,3,0,3
3/2/20,india,5,0,3
3/3/20,india,5,0,3
3/4/20,india,28,0,3
3/5/20,india,30,0,3
3/6/20,india,31,0,3
3/7/20,india,34,0,3
3/8/20,india,39,0,3
3/9/20,india,43,0,3
3/10/20,india,56,0,4
3/11/20,india,62,1,4
3/12/20,india,73,1,4
3/13/20,india,82,2,4
3/14/20,india,102,2,4
3/15/20,india,113,2,13
3/16/20,india,119,2,13
3/17/20,india,142,3,14
3/18/20,india,156,3,14
3/19/20,india,194,4,15
3/20/20,india,244,5,20
3/21/20,india,330,4,23
3/22/20,india,396,7,27
3/23/20,india,499,10,27
3/24/20,india,536,10,40
3/25/20,india,657,12,43
3/26/20,india,727,20,45
3/27/20,india,887,20,73
3/28/20,india,987,24,84
3/29/20,india,1024,27,95
3/30/20,india,1251,32,102
3/31/20,india,1397,35,123
4/1/20,india,1998,58,148
4/2/20,india,2543,72,191
4/3/20,india,2567,72,192
4/4/20,india,3082,86,229
4/5/20,india,3588,99,229
4/6/20,india,4778,136,375
4/7/20,india,5311,150,421
4/8/20,india,5916,178,506
4/9/20,india,6725,226,620
4/10/20,india,7598,246,774
4/11/20,india,8446,288,969
4/12/20,india,9205,331,1080
4/13/20,india,10453,358,1181
4/14/20,india,11487,393,1359
4/15/20,india,12322,405,1432
4/16/20,india,13430,448,1768
4/17/20,india,14352,486,2041
4/18/20,india,15722,521,2463
4/19/20,india,17615,559,2854
4/20/20,india,18539,592,3273
4/21/20,india,20080,645,3975
4/22/20,india,21370,681,4370
4/23/20,india,23077,721,5012
4/24/20,india,24530,780,5498
4/25/20,india,26283,825,5939
4/26/20,india,27890,881,6523
4/27/20,india,29451,939,7137
4/28/20,india,31324,1008,7747
4/29/20,india,33062,1079,8437
4/30/20,india,34863,1154,9068
5/1/20,india,37257,1223,10007
5/2/20,india,39699,1323,10819
5/3/20,india,42505,1391,11775
5/4/20,india,46437,1566,12847
5/5/20,india,49400,1693,14142
5/6/20,india,52987,1785,15331
5/7/20,india,56351,1889,16776
5/8/20,india,59695,1985,17887
5/9/20,india,62808,2101,19301
5/10/20,india,67161,2212,20969
5/11/20,india,70768,2294,22549
5/12/20,india,74292,2415,24420
